binned_coordinates,updated_type,updated_subtype,Count,type_subtype,longitude,latitude
"(-87.66, 41.9)",Accident,Major,360,Accident - Major,-87.66,41.9
"(-87.64, 41.87)",Accident,Major,225,Accident - Major,-87.64,41.87
"(-87.65, 41.88)",Accident,Major,192,Accident - Major,-87.65,41.88
"(-87.64, 41.86)",Accident,Major,161,Accident - Major,-87.64,41.86
"(-87.64, 41.85)",Accident,Major,157,Accident - Major,-87.64,41.85
"(-87.65, 41.89)",Accident,Major,145,Accident - Major,-87.65,41.89
"(-87.63, 41.81)",Accident,Major,143,Accident - Major,-87.63,41.81
"(-87.63, 41.78)",Accident,Major,135,Accident - Major,-87.63,41.78
"(-87.66, 41.88)",Accident,Major,123,Accident - Major,-87.66,41.88
"(-87.63, 41.84)",Accident,Major,119,Accident - Major,-87.63,41.84
"(-87.65, 41.89)",Accident,Minor,66,Accident - Minor,-87.65,41.89
"(-87.62, 41.9)",Accident,Minor,58,Accident - Minor,-87.62,41.9
"(-87.65, 41.88)",Accident,Minor,56,Accident - Minor,-87.65,41.88
"(-87.64, 41.86)",Accident,Minor,52,Accident - Minor,-87.64,41.86
"(-87.66, 41.9)",Accident,Minor,47,Accident - Minor,-87.66,41.9
"(-87.64, 41.85)",Accident,Minor,45,Accident - Minor,-87.64,41.85
"(-87.72, 41.95)",Accident,Minor,39,Accident - Minor,-87.72,41.95
"(-87.74, 41.96)",Accident,Minor,38,Accident - Minor,-87.74,41.96
"(-87.67, 41.92)",Accident,Minor,36,Accident - Minor,-87.67,41.92
"(-87.64, 41.87)",Accident,Minor,35,Accident - Minor,-87.64,41.87
"(-87.66, 41.9)",Accident,Unclassified,561,Accident - Unclassified,-87.66,41.9
"(-87.65, 41.88)",Accident,Unclassified,536,Accident - Unclassified,-87.65,41.88
"(-87.65, 41.89)",Accident,Unclassified,452,Accident - Unclassified,-87.65,41.89
"(-87.62, 41.9)",Accident,Unclassified,437,Accident - Unclassified,-87.62,41.9
"(-87.64, 41.85)",Accident,Unclassified,363,Accident - Unclassified,-87.64,41.85
"(-87.64, 41.86)",Accident,Unclassified,352,Accident - Unclassified,-87.64,41.86
"(-87.64, 41.87)",Accident,Unclassified,340,Accident - Unclassified,-87.64,41.87
"(-87.63, 41.81)",Accident,Unclassified,307,Accident - Unclassified,-87.63,41.81
"(-87.75, 41.97)",Accident,Unclassified,279,Accident - Unclassified,-87.75,41.97
"(-87.63, 41.84)",Accident,Unclassified,268,Accident - Unclassified,-87.63,41.84
"(-87.67, 41.88)",Hazard,On Road,2060,Hazard - On Road,-87.67,41.88
"(-87.65, 41.88)",Hazard,On Road,1743,Hazard - On Road,-87.65,41.88
"(-87.65, 41.89)",Hazard,On Road,1534,Hazard - On Road,-87.65,41.89
"(-87.64, 41.86)",Hazard,On Road,1456,Hazard - On Road,-87.64,41.86
"(-87.64, 41.87)",Hazard,On Road,1389,Hazard - On Road,-87.64,41.87
"(-87.62, 41.88)",Hazard,On Road,1355,Hazard - On Road,-87.62,41.88
"(-87.63, 41.81)",Hazard,On Road,1228,Hazard - On Road,-87.63,41.81
"(-87.63, 41.84)",Hazard,On Road,1222,Hazard - On Road,-87.63,41.84
"(-87.66, 41.99)",Hazard,On Road,1217,Hazard - On Road,-87.66,41.99
"(-87.75, 41.97)",Hazard,On Road,1209,Hazard - On Road,-87.75,41.97
"(-87.63, 41.84)",Hazard,On Shoulder,3388,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.82)",Hazard,On Shoulder,3208,Hazard - On Shoulder,-87.63,41.82
"(-87.65, 41.89)",Hazard,On Shoulder,2877,Hazard - On Shoulder,-87.65,41.89
"(-87.65, 41.88)",Hazard,On Shoulder,2826,Hazard - On Shoulder,-87.65,41.88
