binned_coordinates,updated_type,updated_subtype,hour,Count,type_subtype,longitude,latitude
"(-87.64, 41.87)",Accident,Major,0,10,Accident - Major,-87.64,41.87
"(-87.64, 41.86)",Accident,Major,0,10,Accident - Major,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,0,9,Accident - Major,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,0,9,Accident - Major,-87.65,41.88
"(-87.81, 41.98)",Accident,Major,0,7,Accident - Major,-87.81,41.98
"(-87.61, 41.71)",Accident,Major,0,7,Accident - Major,-87.61,41.71
"(-87.63, 41.78)",Accident,Major,0,6,Accident - Major,-87.63,41.78
"(-87.64, 41.88)",Accident,Major,0,5,Accident - Major,-87.64,41.88
"(-87.63, 41.76)",Accident,Major,0,5,Accident - Major,-87.63,41.76
"(-87.77, 41.97)",Accident,Major,0,5,Accident - Major,-87.77,41.97
"(-87.63, 41.78)",Accident,Major,1,12,Accident - Major,-87.63,41.78
"(-87.65, 41.88)",Accident,Major,1,11,Accident - Major,-87.65,41.88
"(-87.64, 41.87)",Accident,Major,1,9,Accident - Major,-87.64,41.87
"(-87.64, 41.86)",Accident,Major,1,8,Accident - Major,-87.64,41.86
"(-87.65, 41.89)",Accident,Major,1,8,Accident - Major,-87.65,41.89
"(-87.66, 41.9)",Accident,Major,1,7,Accident - Major,-87.66,41.9
"(-87.72, 41.87)",Accident,Major,1,6,Accident - Major,-87.72,41.87
"(-87.63, 41.85)",Accident,Major,1,6,Accident - Major,-87.63,41.85
"(-87.66, 41.91)",Accident,Major,1,5,Accident - Major,-87.66,41.91
"(-87.71, 41.83)",Accident,Major,1,5,Accident - Major,-87.71,41.83
"(-87.64, 41.86)",Accident,Major,2,11,Accident - Major,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,2,9,Accident - Major,-87.66,41.9
"(-87.63, 41.81)",Accident,Major,2,9,Accident - Major,-87.63,41.81
"(-87.64, 41.85)",Accident,Major,2,8,Accident - Major,-87.64,41.85
"(-87.65, 41.88)",Accident,Major,2,6,Accident - Major,-87.65,41.88
"(-87.64, 41.87)",Accident,Major,2,6,Accident - Major,-87.64,41.87
"(-87.63, 41.84)",Accident,Major,2,5,Accident - Major,-87.63,41.84
"(-87.77, 41.87)",Accident,Major,2,5,Accident - Major,-87.77,41.87
"(-87.65, 41.85)",Accident,Major,2,5,Accident - Major,-87.65,41.85
"(-87.65, 41.89)",Accident,Major,2,5,Accident - Major,-87.65,41.89
"(-87.65, 41.88)",Accident,Major,3,14,Accident - Major,-87.65,41.88
"(-87.64, 41.86)",Accident,Major,3,12,Accident - Major,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,3,12,Accident - Major,-87.66,41.9
"(-87.65, 41.89)",Accident,Major,3,11,Accident - Major,-87.65,41.89
"(-87.64, 41.87)",Accident,Major,3,9,Accident - Major,-87.64,41.87
"(-87.63, 41.78)",Accident,Major,3,9,Accident - Major,-87.63,41.78
"(-87.63, 41.81)",Accident,Major,3,9,Accident - Major,-87.63,41.81
"(-87.63, 41.84)",Accident,Major,3,8,Accident - Major,-87.63,41.84
"(-87.63, 41.8)",Accident,Major,3,7,Accident - Major,-87.63,41.8
"(-87.67, 41.91)",Accident,Major,3,6,Accident - Major,-87.67,41.91
"(-87.65, 41.88)",Accident,Major,4,15,Accident - Major,-87.65,41.88
"(-87.64, 41.85)",Accident,Major,4,11,Accident - Major,-87.64,41.85
"(-87.63, 41.8)",Accident,Major,4,10,Accident - Major,-87.63,41.8
"(-87.64, 41.87)",Accident,Major,4,10,Accident - Major,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,4,9,Accident - Major,-87.66,41.9
"(-87.63, 41.79)",Accident,Major,4,7,Accident - Major,-87.63,41.79
"(-87.64, 41.86)",Accident,Major,4,6,Accident - Major,-87.64,41.86
"(-87.63, 41.81)",Accident,Major,4,6,Accident - Major,-87.63,41.81
"(-87.63, 41.84)",Accident,Major,4,6,Accident - Major,-87.63,41.84
"(-87.63, 41.85)",Accident,Major,4,5,Accident - Major,-87.63,41.85
"(-87.65, 41.88)",Accident,Major,5,17,Accident - Major,-87.65,41.88
"(-87.64, 41.86)",Accident,Major,5,10,Accident - Major,-87.64,41.86
"(-87.63, 41.77)",Accident,Major,5,8,Accident - Major,-87.63,41.77
"(-87.63, 41.81)",Accident,Major,5,8,Accident - Major,-87.63,41.81
"(-87.63, 41.79)",Accident,Major,5,6,Accident - Major,-87.63,41.79
"(-87.74, 41.96)",Accident,Major,5,6,Accident - Major,-87.74,41.96
"(-87.64, 41.87)",Accident,Major,5,5,Accident - Major,-87.64,41.87
"(-87.66, 41.88)",Accident,Major,5,5,Accident - Major,-87.66,41.88
"(-87.63, 41.8)",Accident,Major,5,5,Accident - Major,-87.63,41.8
"(-87.78, 41.98)",Accident,Major,5,5,Accident - Major,-87.78,41.98
"(-87.63, 41.82)",Accident,Major,6,7,Accident - Major,-87.63,41.82
"(-87.63, 41.78)",Accident,Major,6,7,Accident - Major,-87.63,41.78
"(-87.63, 41.83)",Accident,Major,6,6,Accident - Major,-87.63,41.83
"(-87.64, 41.86)",Accident,Major,6,5,Accident - Major,-87.64,41.86
"(-87.63, 41.8)",Accident,Major,6,5,Accident - Major,-87.63,41.8
"(-87.66, 41.88)",Accident,Major,6,4,Accident - Major,-87.66,41.88
"(-87.62, 41.73)",Accident,Major,6,4,Accident - Major,-87.62,41.73
"(-87.59, 41.66)",Accident,Major,6,4,Accident - Major,-87.59,41.66
"(-87.72, 41.87)",Accident,Major,6,4,Accident - Major,-87.72,41.87
"(-87.64, 41.87)",Accident,Major,6,4,Accident - Major,-87.64,41.87
"(-87.63, 41.78)",Accident,Major,7,11,Accident - Major,-87.63,41.78
"(-87.63, 41.77)",Accident,Major,7,10,Accident - Major,-87.63,41.77
"(-87.64, 41.86)",Accident,Major,7,8,Accident - Major,-87.64,41.86
"(-87.65, 41.89)",Accident,Major,7,8,Accident - Major,-87.65,41.89
"(-87.63, 41.81)",Accident,Major,7,6,Accident - Major,-87.63,41.81
"(-87.65, 41.88)",Accident,Major,7,5,Accident - Major,-87.65,41.88
"(-87.63, 41.79)",Accident,Major,7,5,Accident - Major,-87.63,41.79
"(-87.66, 41.88)",Accident,Major,7,4,Accident - Major,-87.66,41.88
"(-87.63, 41.84)",Accident,Major,7,4,Accident - Major,-87.63,41.84
"(-87.59, 41.66)",Accident,Major,7,4,Accident - Major,-87.59,41.66
"(-87.63, 41.81)",Accident,Major,8,7,Accident - Major,-87.63,41.81
"(-87.63, 41.77)",Accident,Major,8,7,Accident - Major,-87.63,41.77
"(-87.64, 41.87)",Accident,Major,8,5,Accident - Major,-87.64,41.87
"(-87.63, 41.84)",Accident,Major,8,5,Accident - Major,-87.63,41.84
"(-87.65, 41.85)",Accident,Major,8,4,Accident - Major,-87.65,41.85
"(-87.64, 41.85)",Accident,Major,8,4,Accident - Major,-87.64,41.85
"(-87.63, 41.75)",Accident,Major,8,3,Accident - Major,-87.63,41.75
"(-87.76, 41.87)",Accident,Major,8,3,Accident - Major,-87.76,41.87
"(-87.59, 41.7)",Accident,Major,8,3,Accident - Major,-87.59,41.7
"(-87.75, 41.87)",Accident,Major,8,3,Accident - Major,-87.75,41.87
"(-87.63, 41.81)",Accident,Major,9,11,Accident - Major,-87.63,41.81
"(-87.64, 41.86)",Accident,Major,9,5,Accident - Major,-87.64,41.86
"(-87.63, 41.79)",Accident,Major,9,3,Accident - Major,-87.63,41.79
"(-87.64, 41.85)",Accident,Major,9,3,Accident - Major,-87.64,41.85
"(-87.62, 41.72)",Accident,Major,9,3,Accident - Major,-87.62,41.72
"(-87.73, 41.87)",Accident,Major,9,3,Accident - Major,-87.73,41.87
"(-87.74, 41.87)",Accident,Major,9,3,Accident - Major,-87.74,41.87
"(-87.6, 41.68)",Accident,Major,9,3,Accident - Major,-87.6,41.68
"(-87.63, 41.8)",Accident,Major,9,2,Accident - Major,-87.63,41.8
"(-87.63, 41.84)",Accident,Major,9,2,Accident - Major,-87.63,41.84
"(-87.64, 41.85)",Accident,Major,10,6,Accident - Major,-87.64,41.85
"(-87.62, 41.73)",Accident,Major,10,5,Accident - Major,-87.62,41.73
"(-87.65, 41.88)",Accident,Major,10,5,Accident - Major,-87.65,41.88
"(-87.63, 41.81)",Accident,Major,10,4,Accident - Major,-87.63,41.81
"(-87.66, 41.84)",Accident,Major,10,4,Accident - Major,-87.66,41.84
"(-87.71, 41.94)",Accident,Major,10,4,Accident - Major,-87.71,41.94
"(-87.65, 41.89)",Accident,Major,10,3,Accident - Major,-87.65,41.89
"(-87.64, 41.87)",Accident,Major,10,3,Accident - Major,-87.64,41.87
"(-87.67, 41.92)",Accident,Major,10,3,Accident - Major,-87.67,41.92
"(-87.63, 41.83)",Accident,Major,10,3,Accident - Major,-87.63,41.83
"(-87.63, 41.84)",Accident,Major,11,9,Accident - Major,-87.63,41.84
"(-87.63, 41.82)",Accident,Major,11,8,Accident - Major,-87.63,41.82
"(-87.76, 41.97)",Accident,Major,11,7,Accident - Major,-87.76,41.97
"(-87.64, 41.85)",Accident,Major,11,7,Accident - Major,-87.64,41.85
"(-87.7, 41.88)",Accident,Major,11,7,Accident - Major,-87.7,41.88
"(-87.64, 41.86)",Accident,Major,11,6,Accident - Major,-87.64,41.86
"(-87.64, 41.87)",Accident,Major,11,6,Accident - Major,-87.64,41.87
"(-87.61, 41.71)",Accident,Major,11,5,Accident - Major,-87.61,41.71
"(-87.62, 41.72)",Accident,Major,11,5,Accident - Major,-87.62,41.72
"(-87.79, 41.98)",Accident,Major,11,5,Accident - Major,-87.79,41.98
"(-87.64, 41.87)",Accident,Major,12,7,Accident - Major,-87.64,41.87
"(-87.64, 41.85)",Accident,Major,12,6,Accident - Major,-87.64,41.85
"(-87.74, 41.87)",Accident,Major,12,6,Accident - Major,-87.74,41.87
"(-87.63, 41.76)",Accident,Major,12,6,Accident - Major,-87.63,41.76
"(-87.61, 41.71)",Accident,Major,12,5,Accident - Major,-87.61,41.71
"(-87.7, 41.83)",Accident,Major,12,5,Accident - Major,-87.7,41.83
"(-87.68, 41.88)",Accident,Major,12,5,Accident - Major,-87.68,41.88
"(-87.82, 41.98)",Accident,Major,12,5,Accident - Major,-87.82,41.98
"(-87.73, 41.87)",Accident,Major,12,5,Accident - Major,-87.73,41.87
"(-87.72, 41.87)",Accident,Major,12,5,Accident - Major,-87.72,41.87
"(-87.64, 41.86)",Accident,Major,13,13,Accident - Major,-87.64,41.86
"(-87.68, 41.88)",Accident,Major,13,11,Accident - Major,-87.68,41.88
"(-87.64, 41.85)",Accident,Major,13,10,Accident - Major,-87.64,41.85
"(-87.61, 41.71)",Accident,Major,13,9,Accident - Major,-87.61,41.71
"(-87.63, 41.82)",Accident,Major,13,9,Accident - Major,-87.63,41.82
"(-87.63, 41.84)",Accident,Major,13,8,Accident - Major,-87.63,41.84
"(-87.72, 41.87)",Accident,Major,13,7,Accident - Major,-87.72,41.87
"(-87.64, 41.87)",Accident,Major,13,7,Accident - Major,-87.64,41.87
"(-87.75, 41.96)",Accident,Major,13,7,Accident - Major,-87.75,41.96
"(-87.63, 41.81)",Accident,Major,13,6,Accident - Major,-87.63,41.81
"(-87.64, 41.85)",Accident,Major,14,11,Accident - Major,-87.64,41.85
"(-87.76, 41.97)",Accident,Major,14,9,Accident - Major,-87.76,41.97
"(-87.63, 41.81)",Accident,Major,14,8,Accident - Major,-87.63,41.81
"(-87.73, 41.95)",Accident,Major,14,7,Accident - Major,-87.73,41.95
